00059962;;;
00114499;;;
00114503;;;
00114623;;;
00114677;butée;;
00114688;plafond E6;;
00114698;;;
00114823;butée;;
00115026;;;
00115418;;;
00115434;;;
00115556;pas au niveau;;
00116459;catégorie uniquemtnt;;
00116511;;;
00116578;;;faible capacité d'imlications, multiples absences, 
00116584;;;
00116609;;;
00116615;;;
00116639;retraite;;
00116745;fin de ligne;;
00116831;;;
00116881;butée;;
00116903;;;
00116995;reste un avancement;ne démérite pas MAIS, pas trajectoire E7;
00117017;;;
00117024;;;
00117175;;;
00117203;;;
00117229;;;
00117320;;;
00117321;;;
00117341;;;
00117510;butée basse l'année prochaine;activité de fin de carrière, peu scientifique;
00117513;;;
00117665;;;
00117684;retraite en fin d'(année;;
00117687;;;
00117713;;;ralentit car investissement .. I pourrait en faie plus se met en retrait
00117716;;;
00117730;;;
00117760;;;
00117803;;;
00117897;;;
00117955;"CGC : travaille au DMN, produit ; reconnue par ses pairs ; DIR : ce qu'elle fait ne rencontre pas les priorités du service.Ou muetr.";;
00118045;;;
00118083;quitte le CEA;;
00118108;fin de ligne, retraite 01/2024 reste 1,5 av;;
00118166;;;
00118241;;;
00118329;;;
00118413;;butée;
00118437;;;
00118443;;;
00119518;;"vrai choix ; action n'avnce pas comme souhaité";
00119690;mediane l'année dernière;pas E5, min l'énnée dernière;"pas E5 ; fin de ligne ; pas très occupé ; ne fait pas ce qu'il devait faire pour les brevets ; occupé site internet école ; devrais chercher un poste ailleurs"
00120172;;;
00120233;;;
00120237;positionnement très amont très indépendant ne peut pas travailler en groupe;"; tout seul; isolé, dfait ce qu'il veut ; compliqué, difficile de travailler";
00120680;;;
00120756;;;
00120757;;;
00120762;;;
00120802;;;
00120807;CAA;;
00120817;;;
00120819;;;
00120866;;;
00120869;butée;;
00120873;;;
00120881;;;
00120887;;;
00120920;;;
00121127;ligne;;
00121199;pas d'HDR pas E7;;
00121204;;;
00121273;;;
00121349;;;
00121361;;;
00121417;;;
00121430;;;
00121470;;;
00121601;;;
00121613;;;
00121640;;;
00121734;;;E5 a enfin passé son HDR
00121736;;;
00121761;;;
00121829;catégorie, pas de problèem;;
00121867;;;
00121878;contrainte. Retraite en 2023;;regrret deux années de suite
00121899;;;
00122217;;;
00122505;;;
00122575;;;
00122845;butée;;
00123095;;;
00123309;butée;;
00123583;candidat E7 validée en 2020 passe en 2021;;
00123645;;;
00123921;;;
00124164;;;
00124177;idem difficulté N3, difficulté à rédiger article;"pas l'opportunité de le maintenir E5 ; presque au max; problème passage N3";"VB l'année dernière E5 compliqué reparti de rien passage N3 en préparation mais pas gangé  ; RV en 2020"
00124194;;;
00124250;;;regret effet de catégorie
00124559;;;
00124648;;;
00124814;;;
00125102;;;
00125241;;;
00125265;;;
00125286;;;
00125551;;;
00125609;gestion de fin de ligne mais s'il travaille bien;;
00125652;;;
00125724;;;
00125738;;"pas de VB repet ; on veut plus";
00125752;refus responsabilité gestion E4;refus responsabilité gestion E4;
00125767;E7 à construire;;
00125867;;;
00125931;;;pas assez impliqué, pas de projection E7, carrières à gérer
00125965;;;
00126008;pas E7 fin de ligne;;
00126011;;;
00126016;;;
00126033;;;
00126051;retraite;;
00126087;;;
00126141;;;
00126166;;;
00126231;contrainte après une basse;;"même pas un avancement à trois ans conscient que cest dur ; E7 pas envisageable ; serait en fait une sanction"
00126232;;;
00126260;;;
00126273;pas E7;;
00126331;;repet;
00126349;;;
00126375;;;
00126388;;;
00126390;;;
00126393;;;
00126405;;;
00126420;retraite dans 2-3 ans;;
00126437;;;
00126552;;;a déjà eu 3 ans
00126828;;;
00126970;;;
00127048;relation tendue, relations tendues, en arrêt maladiedepuis septembre 2019;;
00127653;;;
00128096;;;
00128202;;;
00128566;;;
00128661;;;
00128950;;;6 ans ? Poste sous dimensionné, fait métrologie depuis 3 ans , on a déjà tenter de le faire évoluer on a fait des propositions, a été reçu, pas d'évolution, il faut un changement de rythme, apect prise de resposabilités doit être fait par lui en 2019
00129348;;;"manque HDR pour E7; gestion fin de ligne"
00129709;;;
