    10.00000   -0.296418069849535E+01   -0.296445108328577E+01    0.473341742238173E+04    0.214710369260932E+04
    20.00000   -0.747340504535596E+01   -0.747354024402809E+01    0.562942144044129E+04    0.304334299707333E+04
    30.00000   -0.125655532615662E+02   -0.125656433947893E+02    0.615364424647562E+04    0.356760938185719E+04
    40.00000   -0.180362890428485E+02   -0.180363566429693E+02    0.652560191306228E+04    0.393958230153733E+04
    50.00000   -0.237885477074548E+02   -0.237886017876268E+02    0.681411946481502E+04    0.422810691338661E+04
    60.00000   -0.297651559551042E+02   -0.297652010219482E+02    0.704985740261071E+04    0.446384868632119E+04
    70.00000   -0.359283345376676E+02   -0.359283731664086E+02    0.724917191915115E+04    0.466316551533785E+04
    80.00000   -0.422512317956062E+02   -0.422512655957647E+02    0.742182650892527E+04    0.483582160600135E+04
    90.00000   -0.487137705745724E+02   -0.487138006191637E+02    0.757411894502260E+04    0.498811507110504E+04
   100.00000   -0.553003669224001E+02   -0.553003939625363E+02    0.771034935572521E+04    0.512434621785064E+04
   110.00000   -0.619985712589725E+02   -0.619985958409171E+02    0.783358487362323E+04    0.524758228033762E+04
   120.00000   -0.687982079751846E+02   -0.687982305086357E+02    0.794609016986602E+04    0.536008799078521E+04
   130.00000   -0.756908038804316E+02   -0.756908246805414E+02    0.804958506853902E+04    0.546358321180708E+04
   140.00000   -0.826691935606243E+02   -0.826692128750131E+02    0.814540642075972E+04    0.555940481980185E+04
   150.00000   -0.897272380607764E+02   -0.897272560875401E+02    0.823461399724684E+04    0.564861260263447E+04
   160.00000   -0.968596189110904E+02   -0.968596358111819E+02    0.831806213619901E+04    0.573206091046535E+04
   170.00000   -0.104061683840553E+03   -0.104061699746522E+03    0.839644963224508E+04    0.581044854647401E+04
   180.00000   -0.111329328913132E+03   -0.111329343935436E+03    0.847035534405012E+04    0.588435437556906E+04
   190.00000   -0.118658906932405E+03   -0.118658921164062E+03    0.854026416189003E+04    0.595426329267153E+04
   200.00000   -0.126047155179563E+03   -0.126047168699638E+03    0.860658630678438E+04    0.602058552231463E+04
   210.00000   -0.133491137637488E+03   -0.133491150513750E+03    0.866967191612291E+04    0.608367120458570E+04
   220.00000   -0.140988198242879E+03   -0.140988210533856E+03    0.872982223312377E+04    0.614382158480163E+04
   230.00000   -0.148535922654170E+03   -0.148535934410757E+03    0.878729830697761E+04    0.620129771380571E+04
   240.00000   -0.156132106680021E+03   -0.156132117946750E+03    0.884232784001993E+04    0.625632729524922E+04
   250.00000   -0.163774729978063E+03   -0.163774740794123E+03    0.889511063622462E+04    0.630911013416391E+04
   260.00000   -0.171461933967960E+03   -0.171461944368018E+03    0.894582298045446E+04    0.635982251627110E+04
   270.00000   -0.179192003147008E+03   -0.179192013161879E+03    0.899462119078910E+04    0.640862076035292E+04
   280.00000   -0.186963349177221E+03   -0.186963358834418E+03    0.904164452450562E+04    0.645564412426586E+04
   290.00000   -0.194774497248295E+03   -0.194774506572485E+03    0.908701757389475E+04    0.650101720078185E+04
   300.00000   -0.202624074323545E+03   -0.202624083336928E+03    0.913085225575181E+04    0.654485190709848E+04
   310.00000   -0.210510798954614E+03   -0.210510807677243E+03    0.917324947453097E+04    0.658724914800861E+04
   320.00000   -0.218433472411621E+03   -0.218433480861669E+03    0.921430052136294E+04    0.662830021492936E+04
   330.00000   -0.226390970923018E+03   -0.226390979117003E+03    0.925408825772871E+04    0.666808796958548E+04
   340.00000   -0.234382238856820E+03   -0.234382246809805E+03    0.929268812238092E+04    0.670668785093803E+04
   350.00000   -0.242406282704671E+03   -0.242406290430429E+03    0.933016899226862E+04    0.674416873611513E+04
   360.00000   -0.250462165753938E+03   -0.250462173265091E+03    0.936659392215344E+04    0.678059368003306E+04
   370.00000   -0.258549003352190E+03   -0.258549010660339E+03    0.940202078286796E+04    0.681602055365829E+04
   380.00000   -0.266665958683969E+03   -0.266665965799799E+03    0.943650281444025E+04    0.685050259713554E+04
   390.00000   -0.274812238992368E+03   -0.274812245925740E+03    0.947008910735870E+04    0.688408890105497E+04
   400.00000   -0.282987092188369E+03   -0.282987098948407E+03    0.950282502289616E+04    0.691682482677864E+04
   410.00000   -0.291189803799436E+03   -0.291189810394594E+03    0.953475256152544E+04    0.694875237485800E+04
   420.00000   -0.299419694215956E+03   -0.299419700654087E+03    0.956591068693408E+04    0.697991050904972E+04
   430.00000   -0.307676116200056E+03   -0.307676122488463E+03    0.959633561190797E+04    0.701033544220110E+04
   440.00000   -0.315958452626268E+03   -0.315958458771757E+03    0.962606105134622E+04    0.704006088926563E+04
   450.00000   -0.324266114427677E+03   -0.324266120436600E+03    0.965511844683939E+04    0.706911829188234E+04
   460.00000   -0.332598538724720E+03   -0.332598544603014E+03    0.968353716656271E+04    0.709753701826973E+04
   470.00000   -0.340955187116754E+03   -0.340955192869979E+03    0.971134468367021E+04    0.712534454162042E+04
   480.00000   -0.349335544119092E+03   -0.349335549752457E+03    0.973856673590594E+04    0.715256659971322E+04
   490.00000   -0.357739115730321E+03   -0.357739121248719E+03    0.976522746875692E+04    0.717922733806636E+04
   500.00000   -0.366165428116629E+03   -0.366165433524660E+03    0.979134956414310E+04    0.720534943862791E+04
   510.00000   -0.374614026401419E+03   -0.374614031703410E+03    0.981695435636318E+04    0.723095423572187E+04
   520.00000   -0.383084473549877E+03   -0.383084478749906E+03    0.984206193678097E+04    0.725606182073510E+04
   530.00000   -0.391576349339385E+03   -0.391576354441300E+03    0.986669124854030E+04    0.728069113683222E+04
   540.00000   -0.400089249407648E+03   -0.400089254415085E+03    0.989086017242600E+04    0.730486006481693E+04
   550.00000   -0.408622784371371E+03   -0.408622789287763E+03    0.991458560484648E+04    0.732858550111492E+04
   560.00000   -0.417176579009021E+03   -0.417176583837619E+03    0.993788352878982E+04    0.735188342872987E+04
   570.00000   -0.425750271502008E+03   -0.425750276245894E+03    0.996076907849926E+04    0.737476898191940E+04
   580.00000   -0.434343512729114E+03   -0.434343517391210E+03    0.998325659852409E+04    0.739725650524584E+04
   590.00000   -0.442955965609601E+03   -0.442955970192677E+03    0.100053596977225E+05    0.741935960757942E+04
   600.00000   -0.451587304490861E+03   -0.451587308997553E+03    0.100270912987258E+05    0.744109121156251E+04
   610.00000   -0.460237214576903E+03   -0.460237219009715E+03    0.100484636833144E+05    0.746246359898540E+04
   620.00000   -0.468905391394323E+03   -0.468905395755638E+03    0.100694885341032E+05    0.748348845247262E+04
   630.00000   -0.477591540292734E+03   -0.477591544584820E+03    0.100901769728933E+05    0.750417689383356E+04
   640.00000   -0.486295375976922E+03   -0.486295380201946E+03    0.101105395960018E+05    0.752453951939337E+04
   650.00000   -0.495016622068256E+03   -0.495016626228280E+03    0.101305865068537E+05    0.754458643258438E+04
   660.00000   -0.503755010693080E+03   -0.503755014790073E+03    0.101503273460853E+05    0.756432727404948E+04
   670.00000   -0.512510282096062E+03   -0.512510286131906E+03    0.101697713193834E+05    0.758377124948185E+04
   680.00000   -0.521282184276640E+03   -0.521282188253135E+03    0.101889272232628E+05    0.760292715540203E+04
   690.00000   -0.530070472646843E+03   -0.530070476565706E+03    0.102078034689616E+05    0.762180340305358E+04
   700.00000   -0.538874909708958E+03   -0.538874913571836E+03    0.102264081046175E+05    0.764040804057915E+04
   710.00000   -0.547695264751624E+03   -0.547695268560096E+03    0.102447488358709E+05    0.765874877362375E+04
   720.00000   -0.556531313563040E+03   -0.556531317318617E+03    0.102628330450271E+05    0.767683298449708E+04
   730.00000   -0.565382838160124E+03   -0.565382841864256E+03    0.102806678088973E+05    0.769466775001418E+04
   740.00000   -0.574249626532497E+03   -0.574249630186571E+03    0.102982599154247E+05    0.771225985812233E+04
   750.00000   -0.583131472400316E+03   -0.583131476005668E+03    0.103156158791963E+05    0.772961582341177E+04
   760.00000   -0.592028174985031E+03   -0.592028178542947E+03    0.103327419559257E+05    0.774674190159954E+04
   770.00000   -0.600939538792204E+03   -0.600939542303912E+03    0.103496441559904E+05    0.776364410306614E+04
   780.00000   -0.609865373405598E+03   -0.609865376872285E+03    0.103663282570949E+05    0.778032820551897E+04
   790.00000   -0.618805493291861E+03   -0.618805496714665E+03    0.103827998161277E+05    0.779679976584918E+04
   800.00000   -0.627759717615057E+03   -0.627759720995076E+03    0.103990641802720E+05    0.781306413124263E+04
   810.00000   -0.636727870060511E+03   -0.636727873398801E+03    0.104151264974270E+05    0.782912644960080E+04
   820.00000   -0.645709778667328E+03   -0.645709781964907E+03    0.104309917259889E+05    0.784499167932200E+04
   830.00000   -0.654705275669104E+03   -0.654705278926952E+03    0.104466646440395E+05    0.786066459849032E+04
   840.00000   -0.663714197342284E+03   -0.663714200561349E+03    0.104621498579848E+05    0.787614981351372E+04
   850.00000   -0.672736383861780E+03   -0.672736387042975E+03    0.104774518106822E+05    0.789145176725132E+04
   860.00000   -0.681771679163354E+03   -0.681771682307559E+03    0.104925747890918E+05    0.790657474666511E+04
   870.00000   -0.690819930812417E+03   -0.690819933920480E+03    0.105075229314867E+05    0.792152289002968E+04
   880.00000   -0.699880989878856E+03   -0.699880992951603E+03    0.105223002342498E+05    0.793630019372964E+04
   890.00000   -0.708954710817556E+03   -0.708954713855775E+03    0.105369105582877E+05    0.795091051867299E+04
   900.00000   -0.718040951354283E+03   -0.718040954358744E+03    0.105513576350856E+05    0.796535759634634E+04
   910.00000   -0.727139572376653E+03   -0.727139575348100E+03    0.105656450724281E+05    0.797964503453561E+04
   920.00000   -0.736250437829882E+03   -0.736250440769029E+03    0.105797763598070E+05    0.799377632273372E+04
   930.00000   -0.745373414617076E+03   -0.745373417524619E+03    0.105937548735367E+05    0.800775483725649E+04
   940.00000   -0.754508372503804E+03   -0.754508375380414E+03    0.106075838815969E+05    0.802158384608443E+04
   950.00000   -0.763655184026740E+03   -0.763655186873070E+03    0.106212665482176E+05    0.803526651344882E+04
   960.00000   -0.772813724406147E+03   -0.772813727222829E+03    0.106348059382254E+05    0.804880590417723E+04
   970.00000   -0.781983871462005E+03   -0.781983874249650E+03    0.106482050211640E+05    0.806220498781418E+04
   980.00000   -0.791165505533610E+03   -0.791165508292810E+03    0.106614666752030E+05    0.807546664253036E+04
   990.00000   -0.800358509402437E+03   -0.800358512133765E+03    0.106745936908493E+05    0.808859365883335E+04
  1000.00000   -0.809562768218133E+03   -0.809562770922149E+03    0.106875887744707E+05    0.810158874309193E+04
  1010.00000   -0.818778169427472E+03   -0.818778172104713E+03    0.107004545516456E+05    0.811445452088507E+04
  1020.00000   -0.828004602706109E+03   -0.828004605357102E+03    0.107131935703462E+05    0.812719354018587E+04
  1030.00000   -0.837241959893031E+03   -0.837241962518289E+03    0.107258083039678E+05    0.813980827439023E+04
  1040.00000   -0.846490134927539E+03   -0.846490137527554E+03    0.107383011542106E+05    0.815230112519910E+04
  1050.00000   -0.855749023788653E+03   -0.855749026363906E+03    0.107506744538245E+05    0.816467442536301E+04
  1060.00000   -0.865018524436841E+03   -0.865018526987797E+03    0.107629304692233E+05    0.817693044129622E+04
  1070.00000   -0.874298536757924E+03   -0.874298539285041E+03    0.107750714029761E+05    0.818907137556856E+04
