  3 3 
  2.340000000000000E-004  0.000000000000000E+000
  4.680000000000000E-004   382687931.720348     
  7.019999999999999E-004   190730278.289292     
  9.360000000000000E-004   126746612.199518     
  1.170000000000000E-003   94756430.7019458     
  1.404000000000000E-003   75563633.3276699     
  1.638000000000000E-003   62769519.9872345     
  1.872000000000000E-003   53631790.6991083     
  2.106000000000000E-003   46779295.5218056     
  2.340000000000000E-003   41450284.5312638     
  2.574000000000000E-003   37187707.8117971     
  2.808000000000000E-003   33700715.4519872     
  3.042000000000000E-003   30795407.5426313     
  3.276000000000000E-003   28337545.7141006     
  3.510000000000000E-003   26231245.4434042     
  3.744000000000000E-003   24406191.4384298     
  3.978000000000000E-003   22809647.2530956     
  4.212000000000000E-003   21401285.0383324     
  4.446000000000000E-003   20149738.7094067     
  4.680000000000000E-003   19030245.5867222     
  4.914000000000000E-003   18022995.5443819     
  5.148000000000000E-003   17111951.8305913     
  5.382000000000000E-003   16283993.4824978     
  5.615999999999999E-003   15528281.4588999     
  5.850000000000000E-003   14835783.2397790     
  6.084000000000000E-003   14198911.5219461     
  6.318000000000000E-003   13611246.2926159     
  6.552000000000000E-003   13067318.6644106     
  6.785999999999999E-003   12562441.0314347     
  7.020000000000000E-003   12092572.3654734     
  7.254000000000000E-003   11654210.4529521     
  7.488000000000000E-003   11244304.9892593     
  7.722000000000000E-003   10860186.9678848     
  7.956000000000000E-003   10499510.9078970     
  8.189999999999999E-003   10160207.2765718     
  8.423999999999999E-003   9840443.06814368     
  8.657999999999999E-003   9538588.95276464     
  8.892000000000001E-003   9253191.75266021     
  9.126000000000000E-003   8982951.26415593     
  9.360000000000000E-003   8726700.64554657     
  9.594000000000000E-003   8483389.74678553     
  9.828000000000000E-003   8252070.87873240     
  1.006200000000000E-002   8031886.61536568     
  1.029600000000000E-002   7822059.29801287     
  1.053000000000000E-002   7621881.97082239     
  1.076400000000000E-002   7430710.52483972     
  1.099800000000000E-002   7247956.86676974     
  1.123200000000000E-002   7073082.95981237     
  1.146600000000000E-002   6905595.60939424     
  1.170000000000000E-002   6745041.88738262     
  1.193400000000000E-002   6591005.10539403     
  1.216800000000000E-002   6443101.26183176     
  1.240200000000000E-002   6300975.89888085     
  1.263600000000000E-002   6164301.31531546     
  1.287000000000000E-002   6032774.08899462     
  1.310400000000000E-002   5906112.86963151     
  1.333800000000000E-002   5784056.40805218     
  1.357200000000000E-002   5666361.79290094     
  1.380600000000000E-002   5552802.86975600     
  1.404000000000000E-002   5443168.82101322     
  1.427400000000000E-002   5337262.88778186     
  1.450800000000000E-002   5234901.21749580     
  1.474200000000000E-002   5135911.82304656     
  1.497600000000000E-002   5040133.64104679     
  1.521000000000000E-002   4947415.67838184     
  1.544400000000000E-002   4857616.23754146     
  1.567800000000000E-002   4770602.21237618     
  1.591200000000000E-002   4686248.44692057     
  1.614600000000000E-002   4604437.15079107     
  1.638000000000000E-002   4525057.36541923     
  1.661400000000000E-002   4448004.47603641     
  1.684800000000000E-002   4373179.76489965     
  1.708200000000000E-002   4300490.00174886     
  1.731600000000000E-002   4229847.06792526     
  1.755000000000000E-002   4161167.61096701     
  1.778400000000000E-002   4094372.72683738     
  1.801800000000000E-002   4029387.66724037     
  1.825200000000000E-002   3966141.56974311     
  1.848600000000000E-002   3904567.20865833     
  1.872000000000000E-002   3844600.76484732     
  1.895400000000000E-002   3786181.61278783     
  1.918800000000000E-002   3729252.12341499     
  1.942200000000000E-002   3673757.48138866     
  1.965600000000000E-002   3619645.51557050     
  1.989000000000000E-002   3566866.54161012     
  2.012400000000000E-002   3515373.21564284     
  2.035800000000000E-002   3465120.39819488     
  2.059200000000000E-002   3416065.02747451     
  2.082600000000000E-002   3368166.00130257     
  2.106000000000000E-002   3321384.06700299     
  2.129400000000000E-002   3275681.71863404     
  2.152800000000000E-002   3231023.10099571     
  2.176200000000000E-002   3187373.91989763     
  2.199600000000000E-002   3144701.35821632     
  2.223000000000000E-002   3102973.99731065     
  2.246400000000000E-002   3062161.74340066     
  2.269800000000000E-002   3022235.75854780     
  2.293200000000000E-002   2983168.39590473     
  2.316600000000000E-002   2944933.13892935     
  2.340000000000000E-002   2907504.54428312     
  2.363400000000000E-002   2870858.18815556     
  2.386800000000000E-002   2834970.61577752     
  2.410200000000000E-002   2799819.29390437     
  2.433600000000000E-002   2765382.56606734     
  2.457000000000000E-002   2731639.61040659     
  2.480400000000000E-002   2698570.39991396     
  2.503800000000000E-002   2666155.66492623     
  2.527200000000000E-002   2634376.85772170     
  2.550600000000000E-002   2603216.11908376     
  2.574000000000000E-002   2572656.24670506     
  2.597400000000000E-002   2542680.66531522     
  2.620800000000000E-002   2513273.39842339     
  2.644200000000000E-002   2484419.04157471     
  2.667600000000000E-002   2456102.73702681     
  2.691000000000000E-002   2428310.14975936     
  2.714400000000000E-002   2401027.44473527     
  2.737800000000000E-002   2374241.26533821     
  2.761200000000000E-002   2347938.71291600     
  2.784600000000000E-002   2322107.32736418     
  2.808000000000000E-002   2296735.06868879     
  2.831400000000000E-002   2271810.29949097     
  2.854800000000000E-002   2247321.76832026     
  2.878200000000000E-002   2223258.59384669     
  2.901600000000000E-002   2199610.24980497     
  2.925000000000000E-002   2176366.55066738     
  2.948400000000000E-002   2153517.63800438     
  2.971800000000000E-002   2131053.96749482     
  2.995200000000000E-002   2108966.29654988     
  3.018600000000000E-002   2087245.67251734     
  3.042000000000000E-002   2065883.42143439     
  3.065400000000000E-002   2044871.13729980     
  3.088800000000000E-002   2024200.67183740     
  3.112200000000000E-002   2003864.12472496     
  3.135600000000000E-002   1983853.83426398     
  3.159000000000000E-002   1964162.36846730     
  3.182400000000000E-002   1944782.51654285     
  3.205800000000000E-002   1925707.28075330     
  3.229200000000000E-002   1906929.86863216     
  3.252600000000000E-002   1888443.68553847     
  3.276000000000000E-002   1870242.32753290     
  3.299400000000000E-002   1852319.57455924     
