   2.3400000000000000E-004   519155904.55185145        45176298.940556876        3931199.5165909599     
   4.6799999999999999E-004   258716150.65213743        22529201.671919845        1961875.9792811852     
   7.0199999999999993E-004   171906123.80677059        14980342.647200705        1305442.7800282771     
   9.3599999999999998E-004   128503510.30492805        11206042.404736066        977232.13922686863     
   1.1700000000000000E-003   102463847.53045122        8941565.0563802477        780310.50105777790     
   1.4039999999999999E-003   85105648.048694551        7431998.6428828705        649033.34699908970     
   1.6379999999999999E-003   72708274.476082429        6353809.4703715201        555267.31204202760     
   1.8720000000000000E-003   63411408.197504714        5545230.6944725458        484945.71374492219     
   2.1060000000000002E-003   56181538.938787252        4916391.8483514236        430253.72858453618     
   2.3400000000000001E-003   50398560.595685065        4413370.6539290175        386502.46249659592     
   2.5740000000000003E-003   45667860.247065425        4001852.9360708771        350708.07384876028     
   2.8079999999999997E-003   41726362.661503345        3658962.5796819557        320881.33492710738     
   3.0420000000000000E-003   38391938.877759770        3368862.2758346321        295645.08812116599     
   3.2759999999999998E-003   35534496.822200991        3120239.6624133470        274015.64945822093     
   3.5100000000000001E-003   33058635.679253485        2904799.0085014626        255271.65072389680     
   3.7439999999999999E-003   30892804.872941013        2716318.5171230952        238872.06578752302     
   3.9779999999999998E-003   28982289.290234782        2550040.3446643753        224403.16881266586     
   4.2120000000000005E-003   27284532.763289575        2402263.9471543254        211543.17306414989     
   4.4460000000000003E-003   25765938.346765403        2270067.8435097262        200038.03640759975     
   4.6800000000000001E-003   24399628.511955012        2151114.8498065737        189684.52515912004     
   4.9140000000000000E-003   23163845.285448376        2043512.9609025880        180318.11683506737     
   5.1480000000000007E-003   22040786.713618066        1945714.1734354417        171804.20215188482     
   5.3820000000000005E-003   21015746.858110245        1856439.7028214987        164031.58215641516     
   5.6159999999999995E-003   20076470.792464707        1774623.8960048961        156907.59107363634     
   5.8499999999999993E-003   19212664.399547860        1699371.6051468912        150354.38967094052     
   6.0840000000000000E-003   18415617.292656578        1629925.3981561570        144306.11399988810     
   6.3179999999999998E-003   17677909.531933904        1565640.0557679369        138706.65775090552     
   6.5519999999999997E-003   16993181.187268559        1505962.5335348409        133507.92981769121     
   6.7859999999999995E-003   16355949.577837348        1450416.0696126772        128668.47236553773     
   7.0200000000000002E-003   15761463.063740468        1398587.4709891498        124152.35528598999     
   7.2540000000000000E-003   15205583.136031220        1350116.8604425120        119928.28462802188     
   7.4879999999999999E-003   14684688.614866477        1304689.3459454984        115968.87819836714     
   7.7219999999999997E-003   14195597.266176380        1262028.2047231151        112250.07287088185     
   7.9559999999999995E-003   13735501.250687646        1221889.2701237847        108750.63648837210     
   8.1900000000000011E-003   13301913.638829671        1184056.2807411775        105451.76343839520     
   8.4240000000000009E-003   12892623.839824039        1148337.0046824259        102336.73763309346     
   8.6580000000000008E-003   12505660.258490264        1114559.9923334077        99390.650140947735     
   8.8920000000000006E-003   12139258.848346369        1082571.8418453247        96600.161402991027     
   9.1260000000000004E-003   11791836.502694953        1052234.8853156713        93953.300031143255     
   9.3600000000000003E-003   11461968.437047267        1023425.2220420798        91439.291786796370     
   9.5940000000000001E-003   11148368.881437354        996031.03959269635        89048.413586923562     
   9.8279999999999999E-003   10849874.530977899        969951.17472366442        86771.868366459021     
   1.0062000000000001E-002   10565430.305641683        945093.87509883777        84601.677401741224     
   1.0296000000000001E-002   10294077.051891817        921375.72986591677        82530.587317123223     
   1.0530000000000001E-002   10034940.884095445        898720.74282244605        80551.989490701861     
   1.0764000000000001E-002   9787223.9161885548        877059.52647322544        78659.849972343494     
   1.0998000000000001E-002   9550196.1765332688        856328.59897402348        76848.648348344766     
   1.1231999999999999E-002   9323188.5334187169        836469.76895734074        75113.324248011093     
   1.1465999999999999E-002   9105586.4868277721        817429.59568565025        73449.230400450338     
   1.1699999999999999E-002   8896824.7051924858        799158.91398626112        71852.091324551337     
   1.1934000000000000E-002   8696382.2048848234        781612.41507621319        70317.966878965206     
   1.2168000000000000E-002   8503778.0859206561        764748.27575354686        68843.220017858242     
   1.2402000000000000E-002   8318567.7504148530        748527.82956693054        67424.488196957114     
   1.2636000000000000E-002   8140339.5412086621        732915.27452201210        66058.657956700365     
   1.2869999999999999E-002   7968711.7471928447        717877.41267436149        64742.842278137185     
   1.3103999999999999E-002   7803329.9294896480        703383.41762318520        63474.360364980144     
   1.3337999999999999E-002   7643864.5290898550        689404.62647939578        62250.719553862953     
   1.3571999999999999E-002   7490008.7219761861        675914.35335424147        61069.599095951155     
   1.3806000000000001E-002   7341476.4923703074        662887.72181520378        59928.835587880661     
   1.4040000000000000E-002   7198000.8986556241        650301.51409631758        58826.409859602602     
   1.4274000000000000E-002   7059332.5098655764        638134.03514027526        57760.435151948594     
   1.4508000000000000E-002   6925237.9934799848        626364.98979775631        56729.146438302581     
   1.4742000000000000E-002   6795498.8377174754        614975.37172207155        55730.890763256706     
   1.4976000000000000E-002   6669910.1936134668        603947.36267994414        54764.118487018153     
   1.5210000000000000E-002   6548279.8239836944        593264.24115669006        53827.375338024765     
   1.5443999999999999E-002   6430427.1479369877        582910.29927003046        52919.295188050455     
   1.5678000000000001E-002   6316182.3709544558        572870.76712446625        52038.593474316047     
   1.5911999999999999E-002   6205385.6917268736        563131.74384027789        51184.061202002340     
   1.6146000000000001E-002   6097886.5779630858        553680.13458001253        50354.559468283951     
   1.6380000000000002E-002   5993543.1042724280        544503.59297271003        49549.014455731747     
   1.6614000000000000E-002   5892221.3460011091        535590.46840369690        48766.412848808177     
   1.6848000000000002E-002   5793794.8235826390        526929.75769690587        48005.797632321504     
   1.7082000000000000E-002   5698143.9925584467        518511.06076852180        47266.264235212613     
   1.7316000000000002E-002   5605155.7749485560        510324.53987628437        46546.956987008038     
   1.7550000000000000E-002   5514723.1281129587        502360.88212885743        45847.065857756636     
