 1 ! nb de types
   5.31100000000000       ! rayon de coupure en Ang
 55.84700 26 'Fe'
 -0.1 -0.2  ! raccordement Ziegler (en Ang)
       50000  ! nombre de points dans les grilles
 1 ! type 1 GLUE/EAM
       50000        0.0100000000
                 0.000000000000000                 0.000000000000000                 0.000000000000000
                 0.010000000000000                -0.100000067314115                -5.000013462822811
                 0.020000000000000                -0.141421625493760                -3.535560831576523
                 0.030000000000000                -0.173205686583866                -2.886791734409217
                 0.040000000000000                -0.200001077025654                -2.500053851272881
                 0.050000000000000                -0.223608480602390                -2.236135291577118
                 0.060000000000000                -0.244951397585487                -2.041322229191909
                 0.070000000000000                -0.264578429496286                -1.889916604702977
                 0.080000000000000                -0.282847020574882                -1.767874655394603
                 0.090000000000000                -0.300005452438342                -1.666787831851603
                 0.100000000000000                -0.316234497420745                -1.581273458009301
                 0.110000000000000                -0.331670624032323                -1.507704813535741
                 0.120000000000000                -0.346419854730554                -1.443537226322599
                 0.130000000000000                -0.360566503610080                -1.386925506591182
                 0.140000000000000                -0.374178932214655                -1.336494688245933
                 0.150000000000000                -0.387313480258013                -1.291196390049610
                 0.160000000000000                -0.400017232363445                -1.250215403916253
                 0.170000000000000                -0.412330016277264                -1.212906991670984
                 0.180000000000000                -0.424285878405056                -1.178753631008746
                 0.190000000000000                -0.435914194650079                -1.147334460892769
                 0.200000000000000                -0.447240521023768                -1.118303242763758
                 0.210000000000000                -0.458287254871750                -1.091372167631000
                 0.220000000000000                -0.469074155835046                -1.066299760627703
                 0.230000000000000                -0.479618761284296                -1.042881711493236
                 0.240000000000000                -0.489936721233355                -1.020943829683496
                 0.250000000000000                -0.500042071023354                -1.000336565795741
                 0.260000000000000                -0.509947455351759                -0.980930703712655
                 0.270000000000000                -0.519664313854293                -0.962613938849360
                 0.280000000000000                -0.529203036009233                -0.945288134851719
                 0.290000000000000                -0.538573091343482                -0.928867105291159
                 0.300000000000000                -0.547783139589422                -0.913274805605171
                 0.310000000000000                -0.556841124441448                -0.898443848532673
                 0.320000000000000                -0.565754353801280                -0.884314276793959
                 0.330000000000000                -0.574529568818268                -0.870832541942477
                 0.340000000000000                -0.583173003579650                -0.857950649669145
                 0.350000000000000                -0.591690436953351                -0.845625440415294
                 0.360000000000000                -0.600087237808641                -0.833817980686015
                 0.370000000000000                -0.608368404620044                -0.822493045479264
                 0.380000000000000                -0.616538600284362                -0.811618676138140
                 0.390000000000000                -0.624602182839516                -0.801165800971831
                 0.400000000000000                -0.632563232659829                -0.791107908378941
                 0.410000000000000                -0.640425576609454                -0.781420764096872
                 0.420000000000000                -0.648192809559765                -0.772082165706007
                 0.430000000000000                -0.655868313614023                -0.763071728723148
                 0.440000000000000                -0.663455275330998                -0.754370699590149
                 0.450000000000000                -0.670956701196405                -0.745961791650484
                 0.460000000000000                -0.678375431555181                -0.737829040847218
                 0.470000000000000                -0.685714153187745                -0.729957678399911
                 0.480000000000000                -0.692975410688126                -0.722334018148868
                 0.490000000000000                -0.700161616780584                -0.714945356610801
                 0.500000000000000                -0.707275061693324                -0.707779884084905
                 0.510000000000000                -0.714317921692530                -0.700826605393814
                 0.520000000000000                -0.721292266866859                -0.694075269049144
                 0.530000000000000                -0.728200068241331                -0.687516303803359
                 0.540000000000000                -0.735043204289888                -0.681140761694666
                 0.550000000000000                -0.741823466907612                -0.674940266813952
                 0.560000000000000                -0.748542566896401                -0.668906969126588
                 0.570000000000000                -0.755202139011689                -0.663033502770030
