-0.0000000000000000e+00	-1.7320539491249301e-01	-2.4495023090073889e-01	-3.0000282740044742e-01
-3.8730618851087351e-01	-4.2427537831371831e-01	-4.5827296312024229e-01	-4.8991805451537301e-01
-5.4775397306569340e-01	-5.7449427748204085e-01	-6.0004523840715918e-01	-6.2455289213713083e-01
-6.7089107826112315e-01	-6.9290074686250058e-01	-7.1423363382420879e-01	-7.3494870925106159e-01
-7.7472233148359237e-01	-7.9386393594130222e-01	-8.1255589177654775e-01	-8.3082857460699655e-01
-8.6622175103773380e-01	-8.8338845582194858e-01	-9.0022901943624334e-01	-9.1676143698570134e-01
-9.4896603809525870e-01	-9.6466697963596193e-01	-9.8011759245306984e-01	-9.9532955256076128e-01
-1.0250799172124181e+00	-1.0396376302057588e+00	-1.0539954543088914e+00	-1.0681614658971441e+00
-1.0959477639787674e+00	-1.1095817462134039e+00	-1.1230513865198823e+00	-1.1363625428742026e+00
-1.1625311689629010e+00	-1.1753987657078286e+00	-1.1881281784358375e+00	-1.2007238145145465e+00
-1.2255302604047691e+00	-1.2377488064146105e+00	-1.2498490764363350e+00	-1.2618344843870581e+00
-1.2854735785724605e+00	-1.2971333316597049e+00	-1.3086903746237306e+00	-1.3201474152834267e+00
-1.3427717466788527e+00	-1.3539438988540851e+00	-1.3650257838452506e+00	-1.3760195920840761e+00
-1.3977513118091680e+00	-1.4084931897635933e+00	-1.4191549323878481e+00	-1.4297383412273470e+00
-1.4506770370847759e+00	-1.4610356103388178e+00	-1.4713224283276360e+00	-1.4815389939153676e+00
-1.5017671252796536e+00	-1.5117814498301996e+00	-1.5217310439407226e+00	-1.5316171767803086e+00
-1.5512039343567057e+00	-1.5609069017381774e+00	-1.5705510964256593e+00	-1.5801376017706668e+00
-1.5991417165152193e+00	-1.6085613352774903e+00	-1.6179272859166525e+00	-1.6272405019344158e+00
-1.6457123329181989e+00	-1.6548726867530852e+00	-1.6639837856266342e+00	-1.6730464406790009e+00
-1.6910295559509898e+00	-1.6999515329058976e+00	-1.7088281010131987e+00	-1.7176599703812534e+00
-1.7351923636215936e+00	-1.7438942198822969e+00	-1.7525540433708362e+00	-1.7611724599410210e+00
-1.7782875004780043e+00	-1.7867853023935327e+00	-1.7952440542416466e+00	-1.8036643109798882e+00
-1.8203914952822815e+00	-1.8286994703020176e+00	-1.8369710458948632e+00	-1.8452067168759101e+00
-1.8615722699803881e+00	-1.8697030884422978e+00	-1.8777998756000824e+00	-1.8858630748704797e+00
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
-0.0000000000000000e+00	-1.8040744069794214e-03	-3.6041715665564304e-03	-5.4002965848086613e-03
-8.9806504703719720e-03	-1.0764889398805639e-02	-1.2545176308322629e-02	-1.4321516154456674e-02
-1.7862374329468675e-02	-1.9626902420415357e-02	-2.1387502972278670e-02	-2.3144180792079954e-02
-2.6645787316364630e-02	-2.8390725487915765e-02	-3.0131759861701659e-02	-3.1868895098252623e-02
-3.5331486656568670e-02	-3.7056952154433082e-02	-3.8778536867421685e-02	-4.0496245311584966e-02
-4.3920051314439885e-02	-4.5626157762274674e-02	-4.7328405719730127e-02	-4.9026799560377948e-02
-5.2412042244334461e-02	-5.4098899693822089e-02	-5.5781920239018838e-02	-5.7461108113008516e-02
-6.0808002640483375e-02	-6.2475717621154912e-02	-6.4139616585150189e-02	-6.5799703627045902e-02
-6.9108458185601018e-02	-7.0757133754405552e-02	-7.2402013505558055e-02	-7.4043101397098673e-02
-7.7313917298224621e-02	-7.8943653088844892e-02	-8.0569612582079606e-02	-8.2191799601392834e-02
-8.5424871378784697e-02	-8.7035763650698816e-02	-8.8642898476518031e-02	-9.0246279547080574e-02
-9.3441795054406154e-02	-9.5033936741695621e-02	-9.6622339174936095e-02	-9.8207005914280179e-02
-1.0136514642244052e-01	-1.0293862718234430e-01	-1.0450838623068066e-01	-1.0607442699884653e-01
-1.0919536729272887e-01	-1.1075027355394371e-01	-1.1230147500613800e-01	-1.1384897495387275e-01
-1.1693288342859567e-01	-1.1846929843932262e-01	-1.2000202491321994e-01	-1.2153106602992249e-01
-1.2457810478657369e-01	-1.2609610866231069e-01	-1.2761043965258120e-01	-1.2912110081399336e-01
-1.3213142575485951e-01	-1.3363109552594030e-01	-1.3512710745156717e-01	-1.3661946446721099e-01
-1.3959322539050001e-01	-1.4107463504937909e-01	-1.4255240130089283e-01	-1.4402652696125406e-01
-1.4696386765530986e-01	-1.4842708820359365e-01	-1.4988667919005252e-01	-1.5134264331351027e-01
5.6044469083981652e-01	5.4431661325946079e-01	5.2823763806686741e-01	5.1220795772796790e-01
4.8029724807559160e-01	4.6441660025858733e-01	4.4858601026414535e-01	4.3280566705056811e-01
4.0139647309825505e-01	3.8576799653865429e-01	3.7019051509377104e-01	3.5466421391118830e-01
3.2376588891650221e-01	3.0839423135579991e-01	2.9307448653544704e-01	2.7780683548500379e-01
2.4742853449533211e-01	2.3231824226095485e-01	2.1726075918109883e-01	2.0225626185578696e-01
1.7240692623792522e-01	1.5756243647643683e-01	1.4277162950618971e-01	1.2803467718194417e-01
9.8723018941115168e-02	8.4148651746143818e-02	6.9628816614632272e-02	5.5163680336142953e-02
2.6398166224459094e-02	1.2098116659341494e-02	-2.1465775427028763e-03	-1.6335754981458703e-02
-4.4546919567103119e-02	-5.8568589551958601e-02	-7.2534108475891521e-02	-8.6443320656394970e-02
-1.1409220798698699e-01	-1.2783157774201109e-01	-1.4151402999025103e-01	-1.5513941509947277e-01
-1.8221839163710463e-01	-1.9567169010677288e-01	-2.0906733554704954e-01	-2.2240518471275819e-01
-2.4890692784441973e-01	-2.6207054196572588e-01	-2.7517580015061927e-01	-2.8822256588197298e-01
-3.1414008086389694e-01	-3.2701056407011314e-01	-3.3982202276186635e-01	-3.5257432749528489e-01
-3.7790096460786160e-01	-3.9047504543757816e-01	-4.0298946923819545e-01	-4.1544411398850950e-01
-4.4017358590175992e-01	-4.5244817671320631e-01	-4.6466251579982887e-01	-4.7681648891671696e-01
-5.0094288826632527e-01	-5.1291509405697211e-01	-5.2482649302253503e-01	-5.3667697905223677e-01
-5.6019479622615032e-01	-5.7186192355759335e-01	-5.8346773035676536e-01	-5.9501211900907380e-01
-6.1791626014465972e-01	-6.2927582617277866e-01	-6.4057360117318551e-01	-6.5180949639372554e-01
-6.7409530158549003e-01	-6.8514504319589853e-01	-6.9613256833461679e-01	-7.0705779748240138e-01
-7.2872105920027230e-01	-7.3945894224904052e-01	-7.5013423029438164e-01	-7.6074685342464932e-01
-7.8178383514282179e-01	-7.9220806380248154e-01	-8.0256936772105569e-01	-8.1286768697338796e-01
-8.3327514200972652e-01	-8.4338416822055939e-01	-8.5342999064961844e-01	-8.6341255974134012e-01
-8.8318775030734720e-01	-8.9298028333395130e-01	-9.0270938615900997e-01	-9.1237501998386861e-01
-9.3151573644521179e-01	-9.4099075253835229e-01	-9.5040216657609533e-01	-9.5974995090822190e-01
-9.7825453125582718e-01	-9.8741128341956430e-01	-9.9650431820603014e-01	-1.0055336195091824e+00
-1.0234009690408845e+00	-1.0322389969049843e+00	-1.0410132505890339e+00	-1.0497237259311167e+00
-1.0669533371438722e+00	-1.0754724769414952e+00	-1.0839278462835571e+00	-1.0923194533564284e+00
-1.0858622993289504e+00	-1.0847592804972930e+00	-1.0836576505299431e+00	-1.0825574080523723e+00
-1.0803610800441135e+00	-1.0792649917400283e+00	-1.0781702853789288e+00	-1.0770769595619469e+00
-1.0748944439405266e+00	-1.0738052513140139e+00	-1.0727174335874705e+00	-1.0716309893376894e+00
-1.0694622155512492e+00	-1.0683798831438385e+00	-1.0672989184716861e+00	-1.0662193200872470e+00
-1.0640642163669876e+00	-1.0629887081117377e+00	-1.0619145603053415e+00	-1.0608417714759155e+00
-1.0587002648360959e+00	-1.0576315440575954e+00	-1.0565641763198499e+00	-1.0554981601266369e+00
-1.0533701763645755e+00	-1.0523082057789430e+00	-1.0512475807042720e+00	-1.0501882996200018e+00
-1.0480737633160764e+00	-1.0470185050309586e+00	-1.0459645846053158e+00	-1.0449120004942483e+00
-1.0428108350118948e+00	-1.0417622505264690e+00	-1.0407149961273376e+00	-1.0396690702452611e+00
-1.0375811977309752e+00	-1.0365392479359483e+00	-1.0354986203323404e+00	-1.0344593133265736e+00
-1.0323846547099096e+00	-1.0313492998875178e+00	-1.0303152592399754e+00	-1.0292825311493659e+00
-1.0272210061429374e+00	-1.0261922059669457e+00	-1.0251647118275407e+00	-1.0241385220824659e+00
-1.0220900491819458e+00	-1.0210677627176494e+00	-1.0200467740299823e+00	-1.0190270814523497e+00
-1.0169915779364691e+00	-1.0159757636406930e+00	-1.0149612387398947e+00	-1.0139480015431399e+00
-1.0119253834736897e+00	-1.0109159991947880e+00	-1.0099078958075178e+00	-1.0089010715966076e+00
-1.0068912538184371e+00	-1.0058882567962930e+00	-1.0048865320407414e+00	-1.0038860778121705e+00
-1.0018889739531884e+00	-1.0008923208192158e+00	-9.9989693120510115e-01	-9.9890280334689507e-01
-9.9691832581806872e-01	-9.9592797259520960e-01	-9.9493887402378101e-01	-9.9395102831549398e-01
-9.9197908831085024e-01	-9.9099499041357697e-01	-9.9001213817761247e-01	-9.8903052979032846e-01
-9.8707103728695322e-01	-9.8609314952126748e-01	-9.8511649830507420e-01	-9.8414108180140702e-01
-9.8219394555944450e-01	-9.8122222212287780e-01	-9.8025172600229316e-01	-9.7928245533638536e-01
-9.7734758289903945e-01	-9.7638197738065224e-01	-9.7541758982304294e-01	-9.7445441834056712e-01
-9.7253171603410093e-01	-9.7157218141448354e-01	-9.7061385527874511e-01	-9.6965673571690369e-01
-9.6774610865063870e-01	-9.6679259730191069e-01	-9.6584028483846940e-01	-9.6488916932599333e-01
-9.6299052139231056e-01	-9.6204298507812114e-01	-9.6109663792893207e-01	-9.6015147798608269e-01
-9.5826471186042173e-01	-9.5732310173594959e-01	-9.5638267093449747e-01	-9.5544341747306527e-01
-9.5356843461392460e-01	-9.5263270122587862e-01	-9.5169813719717733e-01	-9.5076474052048254e-01
