-1.9098554405425465e+00 -1.9177885389997618e+00 -1.9256901313820087e+00
-1.9492097439116502e+00 -1.9569891453517394e+00 -1.9647389196633125e+00
-1.9878139845019669e+00 -1.9954487214794923e+00 -2.0030555340454672e+00
-2.0257116097475194e+00 -2.0332098798266727e+00 -2.0406817742843733e+00
-2.0629421077087189e+00 -2.0703113776797273e+00 -2.0776556856929980e+00
-2.0995414945276063e+00 -2.1067885884743158e+00 -2.1140120149484187e+00
-2.1355427273350762e+00 -2.1426739015104599e+00 -2.1497825971266606e+00
-2.1709760560882860e+00 -2.1779970629354133e+00 -2.1849966862377275e+00
-2.2058693250278396e+00 -2.2127854682096118e+00 -2.2196812390260625e+00
-2.2402482323010080e+00 -2.2470644142353629e+00 -2.2538611598675549e+00
-2.2741365546349761e+00 -2.2808573177464693e+00 -2.2875595130890822e+00
-2.3075563426441099e+00 -2.3141859053181415e+00 -2.3207977078556992e+00
-2.3405280913305173e+00 -2.3470703793786067e+00 -2.3535956598369427e+00
-2.3730708895235257e+00 -2.3795295638261513e+00 -2.3859719331203091e+00
-2.4052025513530850e+00 -2.4115810322327396e+00 -2.4179438652439620e+00
-2.4369397323285495e+00 -2.4432412211136367e+00 -2.4495276777398636e+00
-2.4682980321703210e+00 -2.4745255303357445e+00 -2.4807385741882588e+00
-2.4992920861965247e+00 -2.5054484124057139e+00 -2.5115908274658385e+00
-2.5299356467841312e+00 -2.5360234521070342e+00 -2.5420978576084843e+00
-2.5602416561911325e+00 -2.5662634377312590e+00 -2.5722723014938222e+00
-2.5902223118338275e+00 -2.5961804249630038e+00 -2.6021260753700748e+00
-2.6198891249531711e+00 -2.6257857943240288e+00 -2.6316704311088541e+00
-2.6492529734705461e+00 -2.6550903029527340e+00 -2.6609160069350586e+00
-2.6783241497212336e+00 -2.6841041313871892e+00 -2.6898728732824941e+00
-2.7071124036595431e+00 -2.7128369259286349e+00 -2.7185505743356955e+00
-2.7356269820498542e+00 -2.7412978370852685e+00 -2.7469581657438091e+00
-2.7638766640901786e+00 -2.7694955545306859e+00 -2.7751042489290261e+00
-2.7918697938572983e+00 -2.7974383389555633e+00 -2.8029970023580248e+00
-2.8196143099133666e+00 -2.8251340511435163e+00 -2.8306442100986748e+00
-2.8471177723717203e+00 -2.8525901785612042e+00 -2.8580532879446081e+00
-2.8743873876834178e+00 -2.8798138597175695e+00 -2.8852313073561398e+00
-2.9014300313748169e+00 -2.9068119065168152e+00 -2.9121850174365562e+00
-2.9282522689394619e+00 -2.9335908248034315e+00 -2.9389208651373058e+00
-2.9548603750641735e+00 -2.9601568332748740e+00 -2.9654450138634769e+00
-2.9812603513488511e+00 -2.9865158809176413e+00 -2.9917633606316958e+00
-3.0074579426617598e+00 -3.0126736631052777e+00 -3.0178815519157651e+00
-3.0334586522565714e+00 -3.0386356364816884e+00 -3.0438049983006628e+00
-3.0592677557638499e+00 -3.0644070327399620e+00 -3.0695388880526329e+00
-3.0848903141577422e+00 -3.0899928713952445e+00 -3.0950881997017810e+00
-3.1103311857881466e+00 -3.1153979716400082e+00 -3.1204577137236007e+00
-3.1355950375593862e+00 -3.1406269633610067e+00 -3.1456520233970720e+00
-3.1606863553282376e+00 -3.1656842973892672e+00 -3.1706755449091792e+00
-3.1856094535869230e+00 -3.1905742550473724e+00 -3.1955325267687997e+00
-3.2103684844902669e+00 -3.2153009570520350e+00 -3.2202270585867958e+00
-3.2349674462804976e+00 -3.2398683718243966e+00 -3.2447630792737021e+00
-3.2594101911581128e+00 -3.2642803232554995e+00 -3.2691443847015300e+00
-3.2837004326426724e+00 -3.2885404979699722e+00 -3.2933746348719004e+00
-3.3078417524633559e+00 -3.3126524521269900e+00 -3.3174573606288331e+00
-3.3318376070154829e+00 -3.3366196177940437e+00 -3.3413959699510496e+00
-3.3556913334159568e+00 -3.3604453089258541e+00 -3.3651937538555474e+00
-3.3794061551876600e+00 -3.3841327269779349e+00 -3.3888538919413951e+00
-3.4029851876002275e+00 -3.4076849661817108e+00 -3.4123794576001911e+00
-3.4264314426922406e+00 -3.4311050185058209e+00 -3.4357734229173609e+00
-3.4497478339977752e+00 -3.4543957783261030e+00 -3.4590386632864205e+00
-3.4729371809982865e+00 -3.4775600468249217e+00 -3.4821779617564896e+00
-3.4960022133191058e+00 -3.5006005361387484e+00 -3.5051940131316592e+00
-3.5189455746882210e+00 -3.5235198732713968e+00 -3.5280894278393147e+00
-3.5417698266735966e+00 -3.5463206037888826e+00 -3.5508667355831300e+00
-3.5644774522139895e+00 -3.5690051953106297e+00 -3.5735283887951979e+00
-3.5870708589570390e+00 -3.5915760408105704e+00 -3.5960767659006483e+00
-3.6095523824173346e+00 -3.6140354617406456e+00 -3.6185141744070357e+00
-3.6319242889661836e+00 -3.6363857109882405e+00 -3.6408428538298754e+00
-3.6541887786639178e+00 -3.6586289756782260e+00 -3.6630649784648064e+00
-3.6763479879447547e+00 -3.6807673798294660e+00 -3.6851826600161162e+00
-3.6984039921634881e+00 -3.7028029868749259e+00 -3.7071979500906029e+00
-3.7203588080126022e+00 -3.7247378020538444e+00 -3.7291128425651237e+00
-3.7422143958177734e+00 -3.7465737746838235e+00 -3.7509292758355528e+00
-3.7639726617191624e+00 -3.7683128003201127e+00 -3.7726491349543405e+00
-3.7856354597453574e+00 -3.7899567228088697e+00 -3.7942742536633336e+00
-3.8072045937863646e+00 -3.8115073362406799e+00 -3.8158064163280678e+00
-3.8286818194715795e+00 -3.8329663868102060e+00 -3.8372473597793046e+00
-3.8500688459582770e+00 -3.8543355745874122e+00 -3.8585987750671964e+00
-3.8713673376357813e+00 -3.8756165552054513e+00 -3.8798623091330855e+00
-3.8925789157501107e+00 -3.8968109414699619e+00 -3.9010395664036217e+00
-3.9137051599536044e+00 -3.9179203048941980e+00 -3.9221321103115634e+00
-3.9347476097837042e+00 -3.9389461771641212e+00 -3.9431414647473400e+00
-3.9557077660748274e+00 -3.9598900515373403e+00 -3.9640691154451937e+00
-3.9765870923069762e+00 -3.9807533841794847e+00 -3.9849165113074627e+00
-3.9973870158945295e+00 -4.0015375954414285e+00 -4.0056850656703542e+00
-4.0181089294184220e+00 -4.0222440710805101e+00 -4.0263761575143278e+00
-4.0387541918047143e+00 -4.0428741634287295e+00 -4.0469911326220345e+00
-4.0593241294523930e+00 -4.0634291925107116e+00 -4.0675313046865451e+00
-4.0798200373130342e+00 -4.0839104471140528e+00 -4.0879979563724724e+00
-4.1002431799248225e+00 -4.1043191858144903e+00 -4.1083923403323954e+00
-4.1205947924032653e+00 -4.1246566379582283e+00 -4.1287156801808704e+00
-4.1408760813907932e+00 -4.1449240046035616e+00 -4.1489691714281740e+00
-4.1610882259673216e+00 -4.1651224594238725e+00 -4.1691539823757973e+00
-4.1812323785237044e+00 -4.1852531495738843e+00 -4.1892712549755800e+00
-4.2013096655999238e+00 -4.2053171965210030e+00 -4.2093221056542749e+00
-4.2213211886897311e+00 -4.2253156968434578e+00 -4.2293076261052436e+00
-4.2412680250133743e+00 -4.2452497229968209e+00 -4.2492288840488364e+00
-4.2611512282599389e+00 -4.2651203240504554e+00 -4.2690869239630036e+00
-4.2809718293007517e+00 -4.2849285263952979e+00 -4.2888827677855010e+00
-4.3007308368752186e+00 -4.3046753344243340e+00 -4.3086174155890715e+00
-4.3204292382503784e+00 -4.3243617311870501e+00 -4.3282918462308304e+00
-4.3400679998554015e+00 -4.3439886790190609e+00 -4.3479070179770698e+00
-4.3596480678921878e+00 -4.3635571201480561e+00 -4.3674638691046006e+00
-4.3791703689231438e+00 -4.3830679772771433e+00 -4.3869633184796992e+00
-4.3986358104371837e+00 -4.4025221541466122e+00 -4.4064062661156731e+00
-4.4180452813949325e+00 -4.4219205360750884e+00 -4.4257935937100061e+00
-4.4373996527540518e+00 -4.4412639904809925e+00 -4.4451261651619784e+00
-4.4566997779755644e+00 -4.4605533673851676e+00 -4.4644048270716370e+00
-4.4759464935120263e+00 -4.4797894998955146e+00 -4.4836304092209209e+00
-4.4951406192783159e+00 -4.4989732046743960e+00 -4.5028037250377100e+00
-4.5142829591058060e+00 -4.5181052823895680e+00 -4.5219255720435543e+00
-4.5333743011806185e+00 -4.5371865181493458e+00 -4.5409967322857554e+00
-4.5524154184666497e+00 -4.5562176819226448e+00 -4.5600179727544745e+00
-4.5714070691139979e+00 -4.5751995289445757e+00 -4.5789900457854982e+00
-4.5903499968534103e+00 -4.5941328001081594e+00 -4.5979136894492578e+00
-4.6092449313773276e+00 -4.6130182223427614e+00 -4.6167896279266687e+00
-4.6280925887080784e+00 -4.6318565089797774e+00 -4.6356185718723326e+00
-4.6468936715537543e+00 -4.6506483601061070e+00 -4.6544012187656225e+00
-4.6656488696522525e+00 -4.6693944629058857e+00 -4.6731382532501353e+00
-4.6843588601039787e+00 -4.6880954919909819e+00 -4.6918303474619831e+00
-4.7030243076936582e+00 -4.7067521097206715e+00 -4.7104781613473659e+00
-4.7216458652016797e+00 -4.7253649665109476e+00 -4.7290823429698525e+00
-4.7402241737053989e+00 -4.7439347011338615e+00 -4.7476435288077754e+00
-4.7587598628707859e+00 -4.7624619410072766e+00 -4.7661623440421197e+00
-4.7772535512347920e+00 -4.7809473024754361e+00 -4.7846394028352819e+00
-4.7957058464787981e+00 -4.7993913910806576e+00 -4.8030753086010476e+00
-4.8141173456934840e+00 -4.8177948018265360e+00 -4.8214706542661219e+00
-4.8324886356354462e+00 -4.8361581194329393e+00 -4.8398260225235310e+00
-4.8508202929758752e+00 -4.8544819185831427e+00 -4.8581419860782153e+00
-4.8691128845415985e+00 -4.8727667641633712e+00 -4.8764191078850851e+00
-4.8873669675487523e+00 -4.8910132114950366e+00 -4.8946579413798368e+00
-4.9055830898293840e+00 -4.9092218065599562e+00 -4.9128590307027924e+00
-4.9237617900512225e+00 -4.9273930862187862e+00 -4.9310229109160115e+00
-4.9419035979308816e+00 -4.9455275784229373e+00 -4.9491501082139280e+00
-4.9600090344407217e+00 -4.9636258024202036e+00 -4.9672411401277490e+00
-4.9780786120096101e+00 -4.9816882689543212e+00 -4.9852965157238307e+00
-4.9961128347177901e+00 -4.9997154804586907e+00 -5.0033167357962522e+00
-5.0141121984860764e+00 -5.0177079312444599e+00 -5.0213022930537985e+00
-5.0320771912595692e+00 -5.0356661076831637e+00 -5.0392536723015331e+00
-5.0500082931860888e+00 -5.0535904883841241e+00 -5.0571713506171774e+00
-5.0679059767895032e+00 -5.0714815443667849e+00 -5.0750557975224444e+00
-5.0857707071381419e+00 -5.0893397392281541e+00 -5.0929074751495289e+00
-5.1036029420084486e+00 -5.1071655293055302e+00 -5.1107268384029139e+00
-5.1214031320440494e+00 -5.1249593638346713e+00 -5.1285143351166358e+00
-5.1391717209103831e+00 -5.1427216851035560e+00 -5.1462704062071953e+00
-5.1569091454450522e+00 -5.1604529286018943e+00 -5.1639954858222223e+00
-5.1746158358040324e+00 -5.1781535231665261e+00 -5.1816900014850820e+00
