00  -1137.97909 	 0.02914  


00  -1137.97909 	 0.02914  
01  -1137.51158 	 0.00429  


00  -1137.97909 	 0.02914  
01  -1137.51158 	 0.00429  
02  -1137.49664 	 0.00152  


00  -1137.97909 	 0.02914  
01  -1137.51158 	 0.00429  
02  -1137.49664 	 0.00152  
03  -1137.74229 	 0.00381  


00  -1137.97909 	 0.02914  
01  -1137.51158 	 0.00429  
02  -1137.49664 	 0.00152  
03  -1137.74229 	 0.00381  
04  -1137.36029 	-0.01258  


00  -1137.97909 	 0.02914  
01  -1137.51158 	 0.00429  
02  -1137.49664 	 0.00152  
03  -1137.74229 	 0.00381  
04  -1137.36029 	-0.01258  
05  -1137.56464 	 0.00391  


00  -1137.97909 	 0.02914  
01  -1137.51158 	 0.00429  
02  -1137.49664 	 0.00152  
03  -1137.74229 	 0.00381  
04  -1137.36029 	-0.01258  
05  -1137.56464 	 0.00391  
06  -1137.97898 	 0.02936  
